date,venue,team1,team2,stage,match_winner,player_of_the_match,margin
"March 22,2025","Eden Gardens, Kolkata",KKR,RCB,League,RCB,Krunal Pandya,7 wickets
"March 23,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,RR,League,SRH,Ishan Kishan,44 runs
"March 23,2025","MA Chidambaram Stadium, Chennai",CSK,MI,League,CSK,Noor Ahmad,4 wickets
"March 24,2025","ACA-VDCA Cricket Stadium, Vishakhapatnam",DC,LSG,League,DC,Ashutosh Sharma,1 wicket
"March 25,2025","Narendra Modi Stadium, Ahmedabad",GT,PBKS,League,PBKS,Shreyas Iyer,11 runs
"March 26,2025","Barsapara Stadium, Guwahati",RR,KKR,League,KKR,Quinton de Kock,8 wickets
"March 27,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,LSG,League,LSG,Shardul Thakur,5 wickets
"March 28,2025","MA Chidambaram Stadium, Chennai",CSK,RCB,League,RCB,Rajat Patidar,50 runs
"March 29,2025","Narendra Modi Stadium, Ahmedabad",GT,MI,League,GT,Prasidh Krishna,36 runs
"March 30,2025","ACA-VDCA Cricket Stadium, Vishakhapatnam",DC,SRH,League,DC,Mitchell Starc,7 wickets
"March 30,2025","Barsapara Stadium, Guwahati",RR,CSK,League,RR,Nitish Rana,6 runs
"March 31,2025","Wankhede Stadium, Mumbai",MI,KKR,League,MI,Ashwani Kumar,8 wickets
"April 01,2025","Ekana Cricket Stadium, Lucknow",LSG,PBKS,League,PBKS,Prabhsimran Singh,8 wickets
"April 02,2025","M. Chinnaswamy Stadium, Bangalore",RCB,GT,League,GT,Mohammed Siraj,8 wickets
"April 03,2025","Eden Gardens, Kolkata",KKR,SRH,League,KKR,Vaibhav Arora,80 runs
"April 04,2025","Ekana Cricket Stadium, Lucknow",LSG,MI,League,LSG,Digvesh Singh,12 runs
"April 05,2025","MA Chidambaram Stadium, Chennai",CSK,DC,League,DC,KL Rahul,25 runs
"April 05,2025","New PCA Cricket Stadium, Mullanpur",PBKS,RR,League,RR,Jofra Archer,50 runs
"April 06,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,GT,League,GT,Mohammed Siraj,7 wickets
"April 07,2025","Wankhede Stadium, Mumbai",MI,RCB,League,RCB,Rajat Patidar,12 runs
"April 08,2025","Eden Gardens, Kolkata",KKR,LSG,League,LSG,Nicholas Pooran,4 runs
"April 08,2025","New PCA Cricket Stadium, Mullanpur",PBKS,CSK,League,PBKS,Priyansh Arya,18 runs
"April 09,2025","Narendra Modi Stadium, Ahmedabad",GT,RR,League,GT,Sai Sudarshan,58 runs
"April 10,2025","M. Chinnaswamy Stadium, Bangalore",RCB,DC,League,DC,KL Rahul,6 wickets
"April 11,2025","MA Chidambaram Stadium, Chennai",CSK,KKR,League,KKR,Sunil Narine,8 wickets
"April 12,2025","Ekana Cricket Stadium, Lucknow",LSG,GT,League,LSG,Aiden Markram,6 wickets
"April 12,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,PBKS,League,SRH,Abhishek Sharma,8 wickets
"April 13,2025","Sawai Mansingh Stadium, Jaipur",RR,RCB,League,RCB,Phil Salt,9 wickets
"April 13,2025","Arun Jaitley Stadium, Delhi",DC,MI,League,DC,Karn Sharma,12 runs
"April 14,2025","Ekana Cricket Stadium, Lucknow",LSG,CSK,League,CSK,MS Dhoni,5 wickets
"April 15,2025","New PCA Cricket Stadium, Mullanpur",PBKS,KKR,League,PBKS,Yuzvendra Chahal,16 runs
"April 16,2025","Arun Jaitley Stadium, Delhi",DC,RR,League,DC,Mitchell Starc,
"April 17,2025","Wankhede Stadium, Mumbai",MI,SRH,League,MI,Will Jacks,4 wickets
"April 18,2025","M. Chinnaswamy Stadium, Bangalore",RCB,PBKS,League,PBKS,Tim David,5 wickets
"April 19,2025","Narendra Modi Stadium, Ahmedabad",GT,DC,League,GT,Jos Buttler,7 wickets
"April 19,2025","Sawai Mansingh Stadium, Jaipur",RR,LSG,League,LSG,Avesh Khan,2 runs
"April 20,2025","New PCA Cricket Stadium, Mullanpur",PBKS,RCB,League,PBKS,Virat Kohli,7 wickets
"April 20,2025","Wankhede Stadium, Mumbai",MI,CSK,League,MI,Rohit Sharma,9 wickets
"April 21,2025","Eden Gardens, Kolkata",KKR,GT,League,GT,Shubman Gill,39 runs
"April 22,2025","Ekana Cricket Stadium, Lucknow",LSG,DC,League,DC,Mukesh Kumar,8 wickets
"April 23,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,MI,League,MI,Trent Boult,7 wickets
"April 24,2025","M. Chinnaswamy Stadium, Bangalore",RCB,RR,League,RCB,Josh Hazlewood,11 runs
"April 25,2025","MA Chidambaram Stadium, Chennai",CSK,SRH,League,SRH,Harshal Patel,5 wickets
"April 26,2025","Eden Gardens, Kolkata",KKR,PBKS,League,,,
"April 27,2025","Wankhede Stadium, Mumbai",MI,LSG,League,MI,Will Jacks,54 runs
"April 27,2025","Arun Jaitley Stadium, Delhi",DC,RCB,League,RCB,Krunal Pandya,6 wickets
"April 28,2025","Sawai Mansingh Stadium, Jaipur",RR,GT,League,RR,Vaibhav Suryavanshi,8 wickets
"April 29,2025","Arun Jaitley Stadium, Delhi",DC,KKR,League,KKR,Sunil Narine,14 runs
"April 30,2025","MA Chidambaram Stadium, Chennai",CSK,PBKS,League,PBKS,Shreyas Iyer,4 wickets
"May 1,2025","Sawai Mansingh Stadium, Jaipur",RR,MI,League,MI,Ryan Rickelton,100 runs
"May 2,2025","Narendra Modi Stadium, Ahmedabad",GT,SRH,League,GT,Prasidh Krishna,38 runs
"May 3,2025","M. Chinnaswamy Stadium, Bangalore",RCB,CSK,League,RCB,Romario Shepherd,2 runs
"May 4,2025","Eden Gardens, Kolkata",KKR,RR,League,KKR,Andre Russell,1 run
"May 4,2025","HPCA Stadium, Dharamshala",PBKS,LSG,League,PBKS,Prabhsimran Singh,37 runs
"May 5,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,DC,League,,,
"May 6,2025","Wankhede Stadium, Mumbai",MI,GT,League,GT,Shubman Gill,3 wickets
"May 7,2025","Eden Gardens, Kolkata",KKR,CSK,League,CSK,Noor Ahmad,2 wickets
"May 17,2025","M. Chinnaswamy Stadium, Bangalore",RCB,KKR,League,,,
"May 18,2025","Sawai Mansingh Stadium, Jaipur",RR,PBKS,League,PBKS,Harpreet Brar,10 runs
"May 18,2025","Arun Jaitley Stadium, Delhi",DC,GT,League,GT,Sai Sudarshan,10 wickets
"May 19,2025","Ekana Cricket Stadium, Lucknow",LSG,SRH,League,SRH,Abhishek Sharma,6 wickets
"May 20,2025","Arun Jaitley Stadium, Delhi",CSK,RR,League,RR,Akash Madhwal,6 wickets
"May 21,2025","Wankhede Stadium, Mumbai",MI,DC,League,MI,Suryakumar Yadav,59 runs
"May 22,2025","Narendra Modi Stadium, Ahmedabad",GT,LSG,League,LSG,Mitchell Marsh,33 runs
"May 23,2025","Ekana Cricket Stadium, Lucknow",RCB,SRH,League,SRH,Ishan Kishan,42 runs
"May 24,2025","Sawai Mansingh Stadium, Jaipur",PBKS,DC,League,DC,Sameer Rizvi,6 wickets
"May 25,2025","Narendra Modi Stadium, Ahmedabad",GT,CSK,League,CSK,Dewald Brevis,83 runs
"May 25,2025","Arun Jaitley Stadium, Delhi",KKR,SRH,League,SRH,Heinrich Klassen,110 runs
"May 26,2025","Sawai Mansingh Stadium, Jaipur",PBKS,MI,League,PBKS,Josh Inglis,7 wickets
"May 27,2025","Ekana Cricket Stadium, Lucknow",LSG,RCB,League,RCB,Jitesh Sharma,6 wickets
"May 29,2025","New PCA Cricket Stadium, Mullanpur",PBKS,RCB,Playoffs,RCB,Suyash Sharma,8 wickets
"May 30,2025","New PCA Cricket Stadium, Mullanpur",GT,MI,Playoffs,MI,Rohit Sharma,20 runs
"June 1,2025","Narendra Modi Stadium, Ahmedabad",PBKS,MI,Playoffs,PBKS,Shreyas Iyer,5 wickets
"June 3,2025","Narendra Modi Stadium, Ahmedabad",RCB,PBKS,Final,RCB,Krunal Pandya,6 runs
